iso_o,iso_d,comlang_off,distcap
JPN,BRA,0,17693.2
JPN,CAN,0,10330.62
JPN,CHN,0,2098.111
JPN,DEU,0,8927.671
JPN,EGY,0,9577.598
JPN,ESP,0,10777.42
JPN,FRA,0,9725.629
JPN,GBR,0,9574.237
JPN,HKG,0,2891.225
JPN,IND,0,5847.71
JPN,ITA,0,9869.275
JPN,JPN,0,231.188
JPN,KOR,0,1156.67
JPN,LKA,0,6861.33
JPN,MEX,0,11312.39
JPN,MYS,0,5329.095
JPN,NGA,0,12990.9
JPN,NLD,0,9303.377
JPN,PAK,0,5980.15
JPN,RUS,0,7486.303
JPN,SAU,0,8701.922
JPN,SGP,0,5326.388
JPN,TUR,0,8777.496
JPN,USA,0,10918.79
JPN,VNM,0,3672.564
JPN,ZAF,0,13517
KOR,ARE,0,6909.236
KOR,AUS,0,8418.786
KOR,BEL,0,8722.114
KOR,BGD,0,3800.079
KOR,BRA,0,17565.08
KOR,CAN,0,10528.16
KOR,CHN,0,955.6511
KOR,DEU,0,8139.991
KOR,EGY,0,8497.368
KOR,ESP,0,10012.64
KOR,FRA,0,8981.467
KOR,GBR,0,8875.39
KOR,HKG,0,2095.843
KOR,IND,0,4692.672
KOR,ITA,0,8982.659
KOR,JPN,0,1156.67
KOR,KOR,0,118.6343
KOR,LKA,0,5840.513
KOR,MEX,0,12066.01
KOR,MYS,0,4614.067
KOR,NGA,0,11909.62
KOR,NLD,0,8573.183
KOR,PAK,0,4828.073
KOR,RUS,0,6614.064
KOR,SAU,0,7557.272
KOR,SGP,0,4676.683
KOR,TUR,0,7759.101
KOR,USA,0,11185.97
KOR,VNM,0,2740.135
KOR,ZAF,0,12457.03
LKA,ARE,0,3342.212
LKA,AUS,0,8620.451
LKA,BEL,0,8404.442
LKA,BGD,0,2179.09
LKA,BRA,0,14264.9
LKA,CAN,0,13720.48
LKA,CHN,0,5171.491
LKA,DEU,0,7825.898
LKA,EGY,0,5684.017
LKA,ESP,0,8975.765
